순위,동반등급,등록부매칭,식당명,카테고리,대분류,근거,주의,출처,도로명주소,전화,도보거리_m,도보_분,대표사진,네이버지도,식당ID,lat,lng
55,B·추정(확인필요),미확인,페이퍼 플레이트,"피자, 조각피자",웨스턴(양식),야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로14길 15 1층,0507-1481-0326,323,5,,https://map.naver.com/p/search/%ED%8E%98%EC%9D%B4%ED%8D%BC%20%ED%94%8C%EB%A0%88%EC%9D%B4%ED%8A%B8,OAFbE8dWO7tD,37.5417281,127.0566909
56,B·추정(확인필요),미확인,코끼리베이글 성수,"베이글, 크림치즈",기타,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로26길 17 (성수동2가) 1층,02-498-0077,360,5,,https://map.naver.com/p/search/%EC%BD%94%EB%81%BC%EB%A6%AC%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%84%B1%EC%88%98,SnyY20AoGrgK,37.5460779,127.0595824
57,B·추정(확인필요),미확인,bd버거,수제버거,웨스턴(양식),야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로14길 7 2층 bd버거 성수,0507-1444-9199,390,6,,https://map.naver.com/p/search/bd%EB%B2%84%EA%B1%B0,oKSnaP24eROU,37.5410965,127.0564655
58,B·추정(확인필요),미확인,스탠다드브레드 성수,"빵, 식빵",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로18길 37 1층,0507-1473-5541,561,8,,https://map.naver.com/p/search/%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C%EB%B8%8C%EB%A0%88%EB%93%9C%20%EC%84%B1%EC%88%98,NxVjggYF16WC,37.5416507,127.0611439
59,B·추정(확인필요),미확인,텐바,"이자카야, 사시미",바·주류,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 41-22 1층 텐바,070-8648-1162,204,3,,https://map.naver.com/p/search/%ED%85%90%EB%B0%94,dO7oA78lV6uc,37.5433674,127.0542183
60,B·추정(확인필요),미확인,러프러프,"디저트, 치즈케이크",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 81 401호,0507-1460-8203,378,6,,https://map.naver.com/p/search/%EB%9F%AC%ED%94%84%EB%9F%AC%ED%94%84,a3p5II0KMDSf,37.5417012,127.0582575
61,B·추정(확인필요),미확인,죠죠,"오꼬노미야끼, 일식당",일식,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장17길 7 1층,0507-1328-8757,560,8,,https://map.naver.com/p/search/%EC%A3%A0%EC%A3%A0,4OVZCXtDbP07,37.5414821,127.0609786
62,B·추정(확인필요),미확인,프롤라,"커피, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장17길 5 1층,0507-1354-9616,584,9,,https://map.naver.com/p/search/%ED%94%84%EB%A1%A4%EB%9D%BC,8UZqn4dn5naj,37.5411749,127.0610122
63,B·추정(확인필요),미확인,맥파이앤타이거 성수티룸,"카페, 티룸",카페·브런치,야외·테라스 좌석 신호('정원') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로 97 5층,0507-1306-1629,117,2,,https://map.naver.com/p/search/%EB%A7%A5%ED%8C%8C%EC%9D%B4%EC%95%A4%ED%83%80%EC%9D%B4%EA%B1%B0%20%EC%84%B1%EC%88%98%ED%8B%B0%EB%A3%B8,TrlEABcNpj8Z,37.5436565,127.0566125
64,B·추정(확인필요),미확인,에스메로,스페인음식,기타,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 뚝섬로13길 36 9층 & 루프탑,02-6951-2884,414,6,,https://map.naver.com/p/search/%EC%97%90%EC%8A%A4%EB%A9%94%EB%A1%9C,JsDpZX1AlIVT,37.5412877,127.0581631
65,B·추정(확인필요),미확인,노이,"쌀국수, 나시고랭",한식·기타,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로12길 8 1층 Noi,0507-1438-7576,531,8,,https://map.naver.com/p/search/%EB%85%B8%EC%9D%B4,JKjWmQUA4qB0,37.5398053,127.0560081
66,B·추정(확인필요),미확인,르알레스카,"베이커리, 치아바타",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 20-1,02-6465-9244,390,6,,https://map.naver.com/p/search/%EB%A5%B4%EC%95%8C%EB%A0%88%EC%8A%A4%EC%B9%B4,3UvdptpClaIz,37.543423,127.0517839
67,B·추정(확인필요),미확인,테니,"커피, 베이커리카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 뚝섬로17가길 55 1층,0507-1341-3094,481,7,,https://map.naver.com/p/search/%ED%85%8C%EB%8B%88,pSodx8SMq4wP,37.5410955,127.0591919
68,B·추정(확인필요),미확인,포도젝트,와인바,바·주류,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 뚝섬로7길 7-1 1층(성수동2가),0507-1448-0271,622,9,,https://map.naver.com/p/search/%ED%8F%AC%EB%8F%84%EC%A0%9D%ED%8A%B8,Gn2xDZqMrML3,37.5389984,127.056424
69,B·추정(확인필요),미확인,베티버,"크로플, 흑임자",기타,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성덕정11길 18 1층 베티버 성수,0507-1340-4079,672,10,,https://map.naver.com/p/search/%EB%B2%A0%ED%8B%B0%EB%B2%84,f8KRI3nyBldk,37.5389408,127.0532019
70,B·추정(확인필요),미확인,지금이밤,"이자카야, 숙성회",바·주류,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로 127 ADLV성수빌딩 202호,0507-1315-5511,239,4,,https://map.naver.com/p/search/%EC%A7%80%EA%B8%88%EC%9D%B4%EB%B0%A4,aUKHAtvdvn2T,37.546363,127.0574598
71,B·추정(확인필요),미확인,커피냅로스터스 성수,"커피, 로스터리카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수일로4길 35-11 커피냅로스터스 성수,02-466-4131,355,5,,https://map.naver.com/p/search/%EC%BB%A4%ED%94%BC%EB%83%85%EB%A1%9C%EC%8A%A4%ED%84%B0%EC%8A%A4%20%EC%84%B1%EC%88%98,93NByMpiDAMC,37.5422923,127.0531435
72,B·추정(확인필요),미확인,전자방,중식,중식,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수일로12길 23 1층,0507-1365-1193,455,7,,https://map.naver.com/p/search/%EC%A0%84%EC%9E%90%EB%B0%A9,BoFymyp2UqoR,37.5482678,127.0537362
73,B·추정(확인필요),미확인,탐광,"돈부리, 에비가츠동",기타,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장5가길 26,070-8869-3333,158,2,,https://map.naver.com/p/search/%ED%83%90%EA%B4%91,ORuTDkYxxXKe,37.5432134,127.0554483
74,B·추정(확인필요),미확인,어니언 성수점,"베이커리, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 아차산로9길 8 어니언,0507-1386-3238,189,3,,https://map.naver.com/p/search/%EC%96%B4%EB%8B%88%EC%96%B8%20%EC%84%B1%EC%88%98%EC%A0%90,gwMOA9twBJDG,37.5446909,127.0581051
75,B·추정(확인필요),미확인,스테치,"카페, 디저트",카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장9길 6,0507-1467-0288,194,3,,https://map.naver.com/p/search/%EC%8A%A4%ED%85%8C%EC%B9%98,mFF53CcxfgJM,37.5428353,127.0559509
76,B·추정(확인필요),미확인,마를리,"케이크, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 47 홍원빌딩,02-467-0303,224,3,,https://map.naver.com/p/search/%EB%A7%88%EB%A5%BC%EB%A6%AC,c9A6GfSJXHgn,37.5428033,127.0547473
77,B·추정(확인필요),미확인,옹근달,"베이커리, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로7길 41-1 옹근달 성수점,02-499-5012,333,5,,https://map.naver.com/p/search/%EC%98%B9%EA%B7%BC%EB%8B%AC,PqcxisHIQDQV,37.5427195,127.052999
78,B·추정(확인필요),미확인,본지르르 성수,"카페, 커피",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),"서울특별시 성동구 광나루로4가길 13 B1, 1, 2층",0507-1327-8615,537,8,,https://map.naver.com/p/search/%EB%B3%B8%EC%A7%80%EB%A5%B4%EB%A5%B4%20%EC%84%B1%EC%88%98,m3Gtn7OAvamo,37.5493012,127.054698
79,B·추정(확인필요),미확인,레이더,"카페, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 39-29 레이더,02-6080-3929,198,3,,https://map.naver.com/p/search/%EB%A0%88%EC%9D%B4%EB%8D%94,D1I3ZrEhXAyN,37.5436442,127.0540539
80,B·추정(확인필요),미확인,리볼리,브런치,카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장9길 4 2층,02-469-0344,209,3,,https://map.naver.com/p/search/%EB%A6%AC%EB%B3%BC%EB%A6%AC,sJpnY94rpzAX,37.5427012,127.0559718
81,B·추정(확인필요),미확인,sofar,"젤라또, 와인",바·주류,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수일로4길 50 1층,0507-1373-8175,287,4,,https://map.naver.com/p/search/sofar,nGsmEGEGVxMG,37.5424349,127.0541421
82,B·추정(확인필요),미확인,베커린 성수점,"독일빵, 브런치",카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장5가길 32 (성수동2가),070-7767-3355,167,2,,https://map.naver.com/p/search/%EB%B2%A0%EC%BB%A4%EB%A6%B0%20%EC%84%B1%EC%88%98%EC%A0%90,kPk4fK4sgWMQ,37.543082,127.0558381
83,B·추정(확인필요),미확인,나누리 잡화점,"술집, 가맥",바·주류,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 47 1층,02-467-0344,224,3,,https://map.naver.com/p/search/%EB%82%98%EB%88%84%EB%A6%AC%20%EC%9E%A1%ED%99%94%EC%A0%90,LkTSqDdeNB8w,37.5428033,127.0547473
84,B·추정(확인필요),미확인,쎈느,"카페, 오디",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장5길 20 Scène 2F,0507-1495-2127,226,3,,https://map.naver.com/p/search/%EC%8E%88%EB%8A%90,816eBLdd7tDQ,37.5448773,127.0534229
85,B·추정(확인필요),미확인,텅플래닛 성수,"커피, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로 82 2층,0507-1404-1119,264,4,,https://map.naver.com/p/search/%ED%85%85%ED%94%8C%EB%9E%98%EB%8B%9B%20%EC%84%B1%EC%88%98,APIm9O7bimsz,37.542245,127.056522
86,B·추정(확인필요),미확인,피넛버터바나나,"디저트, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),"서울특별시 성동구 아차산로7길 15-8 1층,2층",0507-1328-7158,267,4,,https://map.naver.com/p/search/%ED%94%BC%EB%84%9B%EB%B2%84%ED%84%B0%EB%B0%94%EB%82%98%EB%82%98,5VEEyvlzzcJN,37.5466928,127.0545324
87,B·추정(확인필요),미확인,업사이드커피,"커피, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장13길 3 1층 업사이드,070-7799-7579,341,5,,https://map.naver.com/p/search/%EC%97%85%EC%82%AC%EC%9D%B4%EB%93%9C%EC%BB%A4%ED%94%BC,9bJfvsmXMZru,37.5419719,127.0580088
88,B·추정(확인필요),미확인,세스크 멘슬,"샤퀴테리, 수제소세지",기타,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로14길 7 1층,0507-1328-0393,398,6,,https://map.naver.com/p/search/%EC%84%B8%EC%8A%A4%ED%81%AC%20%EB%A9%98%EC%8A%AC,IgWpZwm9bn3X,37.5410221,127.056438
89,B·추정(확인필요),미확인,오와리,"이자카야, 오뎅탕",바·주류,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 13 1층 오와리,0507-1376-9512,437,7,,https://map.naver.com/p/search/%EC%98%A4%EC%99%80%EB%A6%AC,XmNfZkwStjfW,37.543794,127.0510992
90,B·추정(확인필요),미확인,이로우,"이자카야, 사시미",바·주류,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 12 1층,0507-1325-7448,461,7,,https://map.naver.com/p/search/%EC%9D%B4%EB%A1%9C%EC%9A%B0,eyi7q1KADoHn,37.5437299,127.0508455
91,B·추정(확인필요),미확인,도렐 성수점,"커피, 클라우드",카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장7길 11 1층 도렐 성수점,02-465-3675,164,2,,https://map.naver.com/p/search/%EB%8F%84%EB%A0%90%20%EC%84%B1%EC%88%98%EC%A0%90,3atngYtnD63I,37.5436382,127.0545305
92,B·추정(확인필요),미확인,오우드 성수2호점,"베이커리, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로24길 36 2층,0507-1454-2050,528,8,,https://map.naver.com/p/search/%EC%98%A4%EC%9A%B0%EB%93%9C%20%EC%84%B1%EC%88%982%ED%98%B8%EC%A0%90,RtfOcHIQzlcR,37.5441026,127.0619229
93,B·추정(확인필요),미확인,카페 이페메라,"커피, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장17길 10 LCDC SEOUL A동 1층,02-3409-5971,599,9,,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%20%EC%9D%B4%ED%8E%98%EB%A9%94%EB%9D%BC,tDiydPXXApi5,37.5414816,127.061521
94,B·추정(확인필요),미확인,토끼와거북전,"막걸리, 솥밥",기타,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 아차산로 116 1층 101호,02-467-5009,95,1,,https://map.naver.com/p/search/%ED%86%A0%EB%81%BC%EC%99%80%EA%B1%B0%EB%B6%81%EC%A0%84,Qx3KFoSQ74bg,37.5439723,127.0567212
95,B·추정(확인필요),미확인,까사아지오 성수본점,"화덕피자, 아란치니",웨스턴(양식),야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장5가길 20 1층 까사아지오,0507-1428-9194,169,3,,https://map.naver.com/p/search/%EA%B9%8C%EC%82%AC%EC%95%84%EC%A7%80%EC%98%A4%20%EC%84%B1%EC%88%98%EB%B3%B8%EC%A0%90,enj6hOIuwdEQ,37.5433736,127.0547958
96,B·추정(확인필요),미확인,비아트 성수,"커피, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 아차산로5길 24-45 2층,0507-1482-5596,322,5,,https://map.naver.com/p/search/%EB%B9%84%EC%95%84%ED%8A%B8%20%EC%84%B1%EC%88%98,PLq8Vmno3fFT,37.5471439,127.0542613
97,B·추정(확인필요),미확인,플로렌틴 성수점,"카페, 두쫀쿠",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로14길 14 가동 1층 103호,0507-1372-6904,363,5,,https://map.naver.com/p/search/%ED%94%8C%EB%A1%9C%EB%A0%8C%ED%8B%B4%20%EC%84%B1%EC%88%98%EC%A0%90,dQycSb0ct2fS,37.5414033,127.0569364
98,B·추정(확인필요),미확인,파작 북성수점,샌드위치,카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 광나루로4가길 2 1층,,582,9,,https://map.naver.com/p/search/%ED%8C%8C%EC%9E%91%20%EB%B6%81%EC%84%B1%EC%88%98%EC%A0%90,TsWFVsmCMS2I,37.5496126,127.0541436
99,B·추정(확인필요),미확인,제이드앤워터 성수LCDC점,"브런치, 오렌지치킨",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장17길 10 LCDC 4층,0507-1379-7159,586,9,,https://map.naver.com/p/search/%EC%A0%9C%EC%9D%B4%EB%93%9C%EC%95%A4%EC%9B%8C%ED%84%B0%20%EC%84%B1%EC%88%98LCDC%EC%A0%90,VxY9IXGnVuwG,37.5417357,127.0615644
100,B·추정(확인필요),미확인,LOOOP 루프 베이커리 카페,"베이커리, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장5길 9-13 1층,0507-1425-2028,314,5,,https://map.naver.com/p/search/LOOOP%20%EB%A3%A8%ED%94%84%20%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%EC%B9%B4%ED%8E%98,aWqodGsccASK,37.5442547,127.0524251
101,B·추정(확인필요),미확인,엘레멘츠,"카페, 크림라떼",카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로14길 15,0507-1321-4208,317,5,,https://map.naver.com/p/search/%EC%97%98%EB%A0%88%EB%A9%98%EC%B8%A0,MJiyaOk3SORT,37.5417933,127.0567377
102,B·추정(확인필요),미확인,ddd,"카페, 말차",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 뚝섬로13길 36 위즈엘 성수 4층,070-4099-2299,410,6,,https://map.naver.com/p/search/ddd,fnIeokmaibTB,37.541289,127.0580675
103,B·추정(확인필요),미확인,413프로젝트 신사,브런치,카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울 성동구 아차산로13길 6 1층,070-8834-5444,439,7,,https://map.naver.com/p/search/413%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EC%8B%A0%EC%82%AC,RyxasDnRUhHF,37.543676,127.0608055
104,B·추정(확인필요),미확인,오트,브런치,카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로18길 31 1층,070-8834-0815,498,7,,https://map.naver.com/p/search/%EC%98%A4%ED%8A%B8,doTuLiHY1xa3,37.5418901,127.0604817
105,B·추정(확인필요),미확인,브릭샌드 성수 팩토리,"디저트, 휘낭시에",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로20길 54 1층,02-462-2777,648,10,,https://map.naver.com/p/search/%EB%B8%8C%EB%A6%AD%EC%83%8C%EB%93%9C%20%EC%84%B1%EC%88%98%20%ED%8C%A9%ED%86%A0%EB%A6%AC,Is6nFOvAZla7,37.541858,127.0624659
106,B·추정(확인필요),미확인,캣앤에프 성수본점,베이커리카페,카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 29-9 1층,0507-1480-4325,309,5,,https://map.naver.com/p/search/%EC%BA%A3%EC%95%A4%EC%97%90%ED%94%84%20%EC%84%B1%EC%88%98%EB%B3%B8%EC%A0%90,HxXTZRr1DAKp,37.5434399,127.0527681
107,B·추정(확인필요),미확인,루프,"커피, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장5길 9-13,070-7740-2020,350,5,,https://map.naver.com/p/search/%EB%A3%A8%ED%94%84,96zGdiJ3Ur0X,37.544304,127.052008
108,B·추정(확인필요),미확인,LCDC SEOUL,"카페, 라이브공연",카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장17길 10,02-3409-5975,590,9,,https://map.naver.com/p/search/LCDC%20SEOUL,llAmqZasxNm3,37.5415206,127.0614308
109,B·추정(확인필요),미확인,키스 서울,아이스크림,카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 70 1층,070-7209-1431,313,5,,https://map.naver.com/p/search/%ED%82%A4%EC%8A%A4%20%EC%84%9C%EC%9A%B8,Q68zluBKGdSb,37.5418749,127.0569745
